beta,temperature,order_parameter
2.0,0.5,1.2753833e-10
4.0,0.25,2.0699805e-08
5.0,0.2,0.039362412
5.5,0.18181818181818182,0.1032935
6.0,0.16666666666666666,0.171799
6.6,0.15151515151515152,0.2126843
7.0,0.14285714285714285,0.2233866
7.5,0.13333333333333333,0.2348582
8.0,0.125,0.238163
8.5,0.11764705882352941,0.2414549
9.0,0.1111111111111111,0.2453806
11.0,0.09090909090909091,0.2698268
13.0,0.07692307692307693,0.2503337
15.0,0.06666666666666667,0.2498595
16.0,0.0625,0.251888
17.0,0.058823529411764705,0.039941169
18.0,0.05555555555555555,0.2511751
