beta,temperature,order_parameter
6.0,0.16666666666666666,0.0056770742
8.0,0.125,0.037371144
8.5,0.11764705882352941,0.061513372
9.0,0.1111111111111111,0.086471736
9.25,0.10810810810810811,0.098706238
9.5,0.10526315789473684,0.1097327
9.75,0.10256410256410256,0.1180104
10.25,0.0975609756097561,0.1317772
10.5,0.09523809523809523,0.1370414
11.25,0.08888888888888889,0.1487017
11.5,0.08695652173913043,0.151265
11.75,0.0851063829787234,0.1540065
12.25,0.08163265306122448,0.1574218
12.5,0.08,0.1589945
13.0,0.07692307692307693,0.1616035
14.0,0.07142857142857142,0.1653543
15.0,0.06666666666666667,0.064953282
16.0,0.0625,0.1700698
17.0,0.058823529411764705,0.1707007
