beta,temperature,order_parameter
1.5,0.6666666666666666,1.1509916e-09
2.0,0.5,1.2795533e-07
2.2,0.45454545454545453,8.5563862e-08
2.3,0.4347826086956522,5.7090497e-06
2.4,0.4166666666666667,0.010664054
2.5,0.4,9.5073068e-07
2.6,0.3846153846153846,1.5930761e-06
2.7,0.37037037037037035,0.0004063517
2.8,0.35714285714285715,3.7855007e-06
2.9,0.3448275862068966,0.1839496
3.0,0.3333333333333333,2.1148905e-06
3.2,0.3125,3.3505497e-05
3.5,0.2857142857142857,0.00012491869
3.6,0.2777777777777778,0.0055718003
3.7,0.27027027027027023,0.3131155
3.8,0.2631578947368421,0.0056994124
3.9,0.25641025641025644,0.3326337
4.0,0.25,0.3404842
4.1,0.24390243902439027,0.001257049
4.2,0.23809523809523808,0.0018869437
4.4,0.22727272727272727,0.031301904
4.5,0.2222222222222222,0.067244403
4.6,0.2173913043478261,0.3628953
4.7,0.2127659574468085,0.0086552678
4.8,0.20833333333333334,0.3800938
5.0,0.2,0.1363268
5.1,0.19607843137254904,0.022212237
5.3,0.18867924528301888,0.044489074
5.4,0.18518518518518517,0.1829921
5.5,0.18181818181818182,0.3739296
5.7,0.17543859649122806,0.1499693
5.8,0.1724137931034483,0.1314599
5.9,0.1694915254237288,0.374699
6.0,0.16666666666666666,0.3735352
6.1,0.1639344262295082,0.1666979
6.2,0.16129032258064516,0.175722
6.3,0.15873015873015872,0.1417314
6.7,0.14925373134328357,0.3759063
6.9,0.14492753623188406,0.3788811
7.0,0.14285714285714285,0.3768547
7.5,0.13333333333333333,0.3783154
8.0,0.125,0.3794633
8.5,0.11764705882352941,0.3790439
