beta,temperature,order_parameter
0.5,2.0,1.3341939e-12
1.0,1.0,1.7573473e-12
1.5,0.6666666666666666,1.2275009e-10
2.0,0.5,9.9780861e-10
2.5,0.4,2.715019e-08
3.0,0.3333333333333333,1.0459778e-07
3.1,0.3225806451612903,2.9889992e-07
3.2,0.3125,7.647679e-05
3.3,0.30303030303030304,6.2412226e-07
3.4,0.29411764705882354,0.038062699
3.5,0.2857142857142857,0.057999961
3.6,0.2777777777777778,0.084584735
3.7,0.27027027027027023,0.1208215
3.8,0.2631578947368421,0.00010985554
3.9,0.25641025641025644,0.193451
4.0,0.25,0.0010800137
4.1,0.24390243902439027,8.1492026e-06
4.2,0.23809523809523808,0.265081
4.3,0.23255813953488372,0.2791722
4.4,0.22727272727272727,0.2885402
4.5,0.2222222222222222,0.026917625
4.6,0.2173913043478261,0.3035039
4.7,0.2127659574468085,0.00086677104
4.8,0.20833333333333334,5.5761357e-05
4.9,0.2040816326530612,0.3138903
5.0,0.2,0.3155346
5.1,0.19607843137254904,0.3211967
5.2,0.1923076923076923,0.000656349
5.4,0.18518518518518517,0.3257978
5.6,0.17857142857142858,0.0043059867
5.7,0.17543859649122806,0.0023769564
5.9,0.1694915254237288,0.0045248484
6.1,0.1639344262295082,0.3339935
6.2,0.16129032258064516,0.080788188
6.3,0.15873015873015872,0.067683361
6.5,0.15384615384615385,0.3346106
6.6,0.15151515151515152,0.3333234
6.7,0.14925373134328357,0.3367459
6.9,0.14492753623188406,0.3326935
7.0,0.14285714285714285,0.3364272
7.5,0.13333333333333333,0.3380123
8.0,0.125,0.3360923
8.5,0.11764705882352941,0.3386212
