beta,temperature,order_parameter
1.0,1.0,8.818598e-13
2.0,0.5,1.6588842e-08
3.0,0.3333333333333333,4.5512097e-06
3.5,0.2857142857142857,3.6227459e-05
4.0,0.25,0.028646966
5.0,0.2,0.0035746263
5.1,0.19607843137254904,0.0045676813
5.2,0.1923076923076923,0.0058258181
5.3,0.18867924528301888,0.0072995536
5.4,0.18518518518518517,0.0091092568
5.5,0.18181818181818182,0.011360233
6.6,0.15151515151515152,0.078542702
6.8,0.14705882352941177,0.098651648
6.9,0.14492753623188406,0.1066432
7.0,0.14285714285714285,0.1163924
7.2,0.1388888888888889,0.1336198
7.3,0.136986301369863,0.1401016
7.4,0.13513513513513511,0.1472507
7.6,0.13157894736842105,0.158438
7.7,0.12987012987012986,0.1625082
7.8,0.12820512820512822,0.1675095
7.9,0.12658227848101264,0.1708149
8.0,0.125,0.1737886
8.1,0.1234567901234568,0.1760702
8.2,0.12195121951219513,0.1792787
8.3,0.12048192771084336,0.1826986
8.4,0.11904761904761904,0.1836597
8.5,0.11764705882352941,0.1866249
8.6,0.11627906976744186,0.1882991
8.7,0.1149425287356322,0.1901183
8.8,0.11363636363636363,0.1919539
8.9,0.11235955056179775,0.1919746
9.0,0.1111111111111111,0.1941401
9.5,0.10526315789473684,0.1995029
10.0,0.1,0.2035055
10.5,0.09523809523809523,0.2054811
11.0,0.09090909090909091,0.2071732
11.5,0.08695652173913043,0.1691559
12.0,0.08333333333333333,0.2111873
12.5,0.08,0.2108658
13.0,0.07692307692307693,0.211744
13.5,0.07407407407407407,0.1772276
14.0,0.07142857142857142,0.2119118
