beta,temperature,order_parameter
0.5,2.0,1.5342877e-12
1.0,1.0,2.0594805e-11
1.5,0.6666666666666666,2.4666148e-08
2.0,0.5,8.2939093e-11
2.5,0.4,8.3048697e-05
2.6,0.3846153846153846,4.2682075e-07
2.7,0.37037037037037035,1.4979921e-09
2.8,0.35714285714285715,3.741242e-08
2.9,0.3448275862068966,2.2881852e-07
3.0,0.3333333333333333,4.7354591e-09
3.1,0.3225806451612903,5.1237549e-07
3.2,0.3125,0.089038052
3.3,0.30303030303030304,5.2258779e-06
3.4,0.29411764705882354,0.0016258014
3.5,0.2857142857142857,8.3620207e-06
3.6,0.2777777777777778,0.0036909746
3.7,0.27027027027027023,0.0053899568
3.8,0.2631578947368421,0.0078307427
3.9,0.25641025641025644,0.011354495
4.0,0.25,0.016161893
4.1,0.24390243902439027,0.1367542
4.2,0.23809523809523808,0.031236803
4.3,0.23255813953488372,0.042363066
4.4,0.22727272727272727,0.056456588
4.5,0.2222222222222222,0.073757753
4.6,0.2173913043478261,0.09272515
4.7,0.2127659574468085,2.047501e-05
4.75,0.21052631578947367,0.1259591
4.85,0.2061855670103093,0.0050708973
4.9,0.2040816326530612,0.1588875
5.0,0.2,0.2459294
5.1,0.19607843137254904,0.1952856
5.15,0.1941747572815534,0.00025113922
5.2,0.1923076923076923,0.2082928
5.25,0.19047619047619047,0.2150125
5.3,0.18867924528301888,0.220471
5.35,0.1869158878504673,0.2796549
5.45,0.18348623853211007,0.2339011
5.5,0.18181818181818182,0.2361511
5.6,0.17857142857142858,0.2425827
5.65,0.17699115044247787,0.2448206
5.75,0.17391304347826086,0.2489862
5.9,0.1694915254237288,0.2534838
6.0,0.16666666666666666,0.2567092
6.1,0.1639344262295082,0.2615589
6.2,0.16129032258064516,0.2629694
6.3,0.15873015873015872,0.2648157
6.4,0.15625,0.2673624
6.5,0.15384615384615385,0.2695638
6.6,0.15151515151515152,0.2697383
6.7,0.14925373134328357,0.2693021
6.9,0.14492753623188406,0.2717404
7.0,0.14285714285714285,0.2746638
7.5,0.13333333333333333,0.2787751
8.0,0.125,0.2805731
8.5,0.11764705882352941,0.2791997
9.0,0.1111111111111111,0.2816644
9.5,0.10526315789473684,0.2827615
10.0,0.1,0.2837272
